日期类型,时段编号,东向西-直行,东向西-左转,东向西-右转,西向东-直行,西向东-左转,西向东-右转,南向北-直行,南向北-左转,南向北-右转,北向南-直行,北向南-左转,北向南-右转
五一节假日,1,5.7433133241580085,1.3403219843570062,6.531749306869601,6.032757292105387,2.3256611422106843,1.4928636169659795,8.756294902919274,0.39849724165639333,0.6400796502961272,10.725941540852464,4.53696583466144,2.2806823680758406
五一节假日,2,26.659099184295968,3.7384788348116134,26.562421980892417,26.350678804188544,8.894517477642498,5.874803718168963,54.5589708921339,1.01312392604716,2.7679051818189344,36.918819580965405,19.129754369819302,8.271426049215284
五一节假日,3,48.520634187958905,21.05500241014412,40.644116488316726,50.11632723750075,14.633357179478118,10.065130397835954,62.04891599406331,2.2013921329267676,10.971914095232147,52.28417669544263,39.338166424978944,19.23938527464015
五一节假日,4,32.69035954637926,10.661610295580422,22.762315872326024,25.093291361913426,8.399995260782177,3.5209990915901117,22.00132887301938,1.0334223857653388,3.193820169786713,31.66411628547092,15.201690272937782,11.205622013019868
周末及普通休息日,1,6.449628544435447,1.4722733399915937,5.54997311557296,5.953127924537371,2.4728111097321004,1.682394299063862,8.873801919652726,0.7639633039465972,0.6028597764006761,11.047919083360101,3.5516812840199434,2.6910246326199556
周末及普通休息日,2,31.804057679501927,4.632316444383372,34.7636258761147,25.258202557461566,12.202387601685206,7.339409840853226,62.90037712891137,2.0353109199925696,1.8143119510960601,47.909845392824394,11.976130881670978,10.901523725504628
周末及普通休息日,3,64.10908560338095,19.1992074706146,42.32504025933778,41.61683168651767,20.68241011505659,12.927424865092403,70.08990699002933,4.31725589012198,6.426170453182032,70.1577258367415,29.132443792636998,23.669830370621504
周末及普通休息日,4,41.15309799708636,12.218967398824525,24.436267937422446,27.78401580485701,7.898179312102743,4.006693771929139,23.62135978425032,2.4953341698808313,3.124972712535516,38.37844646800362,15.149835567026205,13.830051298303518
周末及普通休息日,5,19.089505789977967,4.532501058576951,11.09674315144508,17.38719441005957,6.1263077005156505,2.8198312227581113,13.330128423453491,1.4372401305458664,1.3576314460006422,21.120182990201037,7.35609510546009,5.929971904338874
工作日,1,4.991754251745225,0.996989456981605,4.86709153154777,4.631945760281528,1.951167793072647,1.1537285519089826,7.38740431485595,0.48229906377347137,0.4689693902492962,9.610597848581163,2.941618046594463,2.2052211757625892
工作日,2,46.42401706074422,9.49078833692023,47.979604540223754,31.709091171181313,12.444580013430993,4.651523620582496,67.75781620251135,1.6747708414204843,2.3438104715961177,60.49314115527998,12.71129957348543,16.52226734576876
工作日,3,30.188856202434653,2.5040670878474667,22.473743376384547,15.606967416354907,9.149389286507638,2.773946327440484,49.75354817294696,2.8465858831784785,1.305663045323838,27.233302773526948,11.013026946288988,18.11598912076378
工作日,4,45.185747274645486,10.932069173769865,33.03478372208764,37.388728952866316,14.090043234062772,8.30732406975541,62.5526685114033,3.53297237695068,5.042236349497685,58.747675111382186,23.898953587825645,20.640668828498907
工作日,5,26.18001115647283,3.278007108142901,12.150677387558183,18.301495763698572,5.821854405476745,1.603922558097411,33.52253946340157,2.8264067250389986,1.3322132318492874,34.70178977306586,21.16557813495632,29.48045817893434
工作日,6,50.6364510115558,12.18901312344341,28.214061556700404,42.393038135987986,13.333608519825445,6.674179790467557,51.94748651554551,3.1341797704540797,4.819519484751394,61.667610823774766,24.782626585225408,22.367944409181646
工作日,7,24.087677473376925,6.947079428305677,14.48698222875218,23.4969016865266,7.0079042149773745,3.280908384210313,19.978545902257306,1.9195269830479549,2.0522376737009536,29.850010492300193,11.486899503812541,9.989176960409006
工作日,8,15.446523595081558,3.8067366540955114,9.775725258069306,15.156599156775544,3.956541547209145,2.583828992985009,12.2471853690052,1.1517709306885464,1.354666888712052,16.566527705330557,6.545365678814529,5.3228892245505675
