日期类型,时段编号,交叉口,版本,周期_C,南北绿灯,东西绿灯,最大饱和度,总交叉口延误_秒车,右转行人冲突系数
五一节假日,1,I01,1,60,20,30,0.05600749615535927,965.1266066208697,1.0
五一节假日,1,I02,1,60,20,30,0.05600749615535927,965.1266066208697,1.0
五一节假日,1,I03,1,60,20,30,0.05600749615535927,965.1266066208697,1.0
五一节假日,1,I04,1,60,20,30,0.05600749615535927,965.1266066208697,1.0
五一节假日,1,I05,1,60,20,30,0.05600749615535927,965.1266066208697,1.0
五一节假日,1,I06,1,60,20,30,0.05600749615535927,965.1266066208697,1.0
五一节假日,1,I07,1,60,20,30,0.05600749615535927,965.1266066208697,1.0
五一节假日,1,I08,1,60,20,30,0.05600749615535927,965.1266066208697,1.0
五一节假日,1,I09,1,60,20,30,0.05600749615535927,965.1266066208697,1.0
五一节假日,1,I10,1,60,20,30,0.05600749615535927,965.1266066208697,1.0
五一节假日,1,I11,1,60,20,30,0.05600749615535927,965.1266066208697,1.0
五一节假日,1,I12,1,60,20,30,0.05600749615535927,965.1266066208697,1.0
五一节假日,2,I01,1,60,20,30,0.2562928042603338,4400.9019509843965,1.0
五一节假日,2,I02,1,60,20,30,0.2562928042603338,4400.9019509843965,1.0
五一节假日,2,I03,1,60,20,30,0.2562928042603338,4400.9019509843965,1.0
五一节假日,2,I04,1,60,20,30,0.2562928042603338,4400.9019509843965,1.0
五一节假日,2,I05,1,60,20,30,0.2562928042603338,4400.9019509843965,1.0
五一节假日,2,I06,1,60,20,30,0.2562928042603338,4400.9019509843965,1.0
五一节假日,2,I07,1,60,20,30,0.2562928042603338,4400.9019509843965,1.0
五一节假日,2,I08,1,60,20,30,0.2562928042603338,4400.9019509843965,1.0
五一节假日,2,I09,1,60,20,30,0.2562928042603338,4400.9019509843965,1.0
五一节假日,2,I10,1,60,20,30,0.2562928042603338,4400.9019509843965,1.0
五一节假日,2,I11,1,60,20,30,0.2562928042603338,4400.9019509843965,1.0
五一节假日,2,I12,1,60,20,30,0.2562928042603338,4400.9019509843965,1.0
五一节假日,3,I01,1,60,20,30,0.3613609801484456,7844.710422001067,1.0
五一节假日,3,I02,1,60,20,30,0.3613609801484456,7844.710422001067,1.0
五一节假日,3,I03,1,60,20,30,0.3613609801484456,7844.710422001067,1.0
五一节假日,3,I04,1,60,20,30,0.3613609801484456,7844.710422001067,1.0
五一节假日,3,I05,1,60,20,30,0.3613609801484456,7844.710422001067,1.0
五一节假日,3,I06,1,60,20,30,0.3613609801484456,7844.710422001067,1.0
五一节假日,3,I07,1,60,20,30,0.3613609801484456,7844.710422001067,1.0
五一节假日,3,I08,1,60,20,30,0.3613609801484456,7844.710422001067,1.0
五一节假日,3,I09,1,60,20,30,0.3613609801484456,7844.710422001067,1.0
五一节假日,3,I10,1,60,20,30,0.3613609801484456,7844.710422001067,1.0
五一节假日,3,I11,1,60,20,30,0.3613609801484456,7844.710422001067,1.0
五一节假日,3,I12,1,60,20,30,0.3613609801484456,7844.710422001067,1.0
五一节假日,4,I01,1,60,20,30,0.17016221835324222,3570.5784230994777,1.0
五一节假日,4,I02,1,60,20,30,0.17016221835324222,3570.5784230994777,1.0
五一节假日,4,I03,1,60,20,30,0.17016221835324222,3570.5784230994777,1.0
五一节假日,4,I04,1,60,20,30,0.17016221835324222,3570.5784230994777,1.0
五一节假日,4,I05,1,60,20,30,0.17016221835324222,3570.5784230994777,1.0
五一节假日,4,I06,1,60,20,30,0.17016221835324222,3570.5784230994777,1.0
五一节假日,4,I07,1,60,20,30,0.17016221835324222,3570.5784230994777,1.0
五一节假日,4,I08,1,60,20,30,0.17016221835324222,3570.5784230994777,1.0
五一节假日,4,I09,1,60,20,30,0.17016221835324222,3570.5784230994777,1.0
五一节假日,4,I10,1,60,20,30,0.17016221835324222,3570.5784230994777,1.0
五一节假日,4,I11,1,60,20,30,0.17016221835324222,3570.5784230994777,1.0
五一节假日,4,I12,1,60,20,30,0.17016221835324222,3570.5784230994777,1.0
周末及普通休息日,1,I01,1,60,20,30,0.05803901353008365,961.2700801485614,1.0
周末及普通休息日,1,I02,1,60,20,30,0.05803901353008365,961.2700801485614,1.0
周末及普通休息日,1,I03,1,60,20,30,0.05803901353008365,961.2700801485614,1.0
周末及普通休息日,1,I04,1,60,20,30,0.05803901353008365,961.2700801485614,1.0
周末及普通休息日,1,I05,1,60,20,30,0.05803901353008365,961.2700801485614,1.0
